DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive
09X564,Claremont International HS,395,Excellent,0.97,0.84,,0.466,0.699,0.888,0.92
09X568,Young Women's Leadership School of the Bronx,309,Good,0.85,0.9,0.907,0.146,0.845,0.876,0.88
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),675,Good,0.86,0.86,0.583,0.076,0.514,0.925,0.84
10X213,Bronx Engineering and Technology Academy,341,Good,0.96,0.81,0.915,0.214,0.827,0.81,0.91
10X225,Theatre Arts Production Company School,340,Fair,0.74,0.87,,0.126,0.921,0.826,0.85
10X228,Jonas Bronck Academy,140,,0.94,0.92,0.922,0.157,0.879,0.926,0.77
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",266,Fair,0.84,0.78,0.931,0.173,0.868,0.83,0.9
10X243,West Bronx Academy for the Future,348,Fair,0.65,0.96,,0.161,0.908,0.872,0.86
10X264,Bronx Academy for Software Engineering (BASE),371,Good,0.83,0.79,0.932,0.191,0.863,0.81,0.85
10X268,Kingsbridge International High School,206,Fair,0.67,0.83,,0.51,0.684,0.866,0.8
10X284,Bronx School of Law and Finance,332,Good,0.94,0.91,,0.253,0.901,0.836,0.92
10X342,International School for Liberal Arts,368,Good,0.87,0.88,,0.438,0.815,0.88,0.88
10X351,Bronx Collaborative High School,435,Fair,0.58,,0.943,0.2,0.883,0.711,0.85
10X353,World View High School,627,Good,0.78,0.93,0.908,0.217,0.812,0.875,0.87
10X368,In-Tech Academy (M.S. / High School 368),536,Good,0.76,0.84,0.875,0.125,0.8,0.914,0.9
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),458,Good,0.83,0.84,0.923,0.159,0.867,0.841,0.89
10X433,High School for Teaching and the Professions,327,Good,0.87,0.93,,0.287,0.875,0.886,0.88
10X434,Belmont Preparatory High School,329,Good,0.9,0.8,0.938,0.155,0.888,0.851,0.84
10X437,Fordham High School for the Arts,351,Excellent,0.9,0.97,0.8,0.094,0.729,0.911,0.9
10X438,Fordham Leadership Academy,365,Good,,0.95,0.93,0.156,0.868,0.894,
10X439,Bronx High School for Law and Community Service,360,Good,0.92,0.85,0.923,0.158,0.878,0.896,0.9
10X440,DeWitt Clinton High School,1219,Good,0.86,0.92,0.893,0.193,0.832,0.905,0.89
10X442,"Celia Cruz Bronx High School of Music, The",407,Excellent,0.88,0.87,0.83,0.128,0.752,0.949,0.9
10X445,The Bronx High School of Science,2953,Excellent,0.86,0.78,0.454,0.036,0.376,0.957,0.87
10X477,Marble Hill High School for International Studies,399,Excellent,0.79,0.82,0.922,0.291,0.812,0.92,0.88
10X524,Crotona International High School,357,Good,0.91,0.87,,0.412,0.675,0.882,0.87
10X546,Bronx Theatre High School,219,Fair,0.9,0.85,0.944,0.247,0.886,0.774,0.94
10X549,Discovery High School,383,Good,0.87,0.81,0.936,0.248,0.851,0.911,0.82
10X565,High School for Energy and Technology,325,Good,0.78,0.92,0.941,0.182,0.886,0.851,0.78
10X696,High School of American Studies at Lehman College,393,Excellent,0.86,0.84,0.396,0.046,0.303,0.959,0.87
11X249,Bronx Health Sciences High School,338,Excellent,0.95,0.83,0.812,0.124,0.731,0.908,0.9
11X265,Bronx Lab School,262,Good,0.97,0.98,0.913,0.237,0.836,0.839,0.98
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,437,Fair,0.86,0.84,0.847,0.121,0.755,0.868,0.87
11X275,High School of Computers and Technology,472,Fair,0.95,0.77,0.864,0.125,0.773,0.861,0.87
11X288,Collegiate Institute for Math and Science,562,Good,0.82,0.81,0.818,0.096,0.737,0.909,0.89
11X290,Bronx Academy of Health Careers,306,Fair,0.9,0.83,0.885,0.288,0.788,0.905,0.86
11X299,Astor Collegiate Academy,424,Fair,0.81,0.83,0.818,0.12,0.745,0.855,0.85
11X418,Bronx High School for the Visual Arts,406,Fair,0.76,0.85,0.885,0.126,0.837,0.881,0.84
11X455,Harry S Truman High School,1649,Fair,0.78,0.82,0.835,0.183,0.753,0.925,0.88
11X508,Bronxdale High School,388,Fair,0.93,0.88,0.854,0.106,0.784,0.903,0.88
11X509,High School of Language and Innovation,373,Good,0.88,0.88,,0.268,0.633,0.91,0.83
11X513,New World High School,286,Excellent,0.88,0.89,0.941,0.22,0.755,0.916,0.89
11X514,The Bronxwood Preparatory Academy,410,Good,0.83,0.9,0.856,0.117,0.817,0.931,0.86
11X542,Pelham Preparatory Academy,449,Good,0.85,0.94,0.814,0.085,0.751,0.904,0.88
11X544,High School for Contemporary Arts,295,Fair,0.71,0.98,0.924,0.203,0.858,0.815,0.8
11X545,Bronx Aerospace High School,370,Fair,0.82,0.84,0.906,0.216,0.824,0.884,0.85
12X242,Mott Hall V,356,Good,0.7,0.86,0.936,0.11,0.888,0.898,0.9
12X248,"Metropolitan High School, The",177,Fair,0.91,0.78,,0.271,0.91,0.761,0.82
12X251,Explorations Academy H.S.,247,Fair,0.73,0.83,,0.215,0.919,0.893,0.9
12X267,Bronx Latin,296,Good,0.62,0.83,,0.162,0.909,0.861,0.83
12X271,East Bronx Academy for the Future,412,Good,0.9,0.87,,0.218,0.888,0.837,0.89
12X388,Pan American International High School at Monroe,344,Good,0.95,0.81,,0.413,0.599,0.879,0.93
12X478,The Cinema School,303,Fair,0.72,0.92,0.915,0.145,0.855,0.842,0.81
12X479,Bronx Career and College Preparatory High School,124,Needs Improvement,,0.77,0.946,0.202,0.919,0.735,
12X511,Bronx Envision Academy,267,Fair,0.86,0.84,,0.236,0.865,0.825,0.85
12X521,The Metropolitan Soundview High School,360,Fair,0.85,0.82,,0.178,0.894,0.88,0.83
12X550,High School of World Cultures,376,Good,0.85,0.86,,0.338,0.649,0.896,0.89
12X641,Bard High School Early College Bronx,247,Excellent,1.0,,0.723,0.101,0.615,0.932,0.83
