DBN,School Name,borough,district,school_indentifier,Latitude,Longitude,geometry
08X282,Women's Academy of Excellence,Bronx,8,282,40.815043,-73.85607,POINT (-8221620.1044 4985098.707400002)
08X293,Renaissance High School for Musical Theater and the Arts,Bronx,8,293,40.839775,-73.839583,POINT (-8219784.7798999995 4988737.160899997)
08X312,Millennium Art Academy,Bronx,8,312,40.821218,-73.85593,POINT (-8221604.5197 4986007.0167)
08X320,Pelham Lab High School,Bronx,8,320,40.839775,-73.839583,POINT (-8219784.7798999995 4988737.160899997)
08X348,Schuylerville Preparatory High School,Bronx,8,348,40.839775,-73.839583,POINT (-8219784.7798999995 4988737.160899997)
08X349,Bronx River High School,Bronx,8,349,40.839775,-73.839583,POINT (-8219784.7798999995 4988737.160899997)
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,8,367,40.815043,-73.85607,POINT (-8221620.1044 4985098.707400002)
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,8,376,40.821218,-73.85593,POINT (-8221604.5197 4986007.0167)
08X405,Herbert H. Lehman High School,Bronx,8,405,40.839775,-73.839583,POINT (-8219784.7798999995 4988737.160899997)
08X432,Bronx Bridges High School,Bronx,8,432,40.821218,-73.85593,POINT (-8221604.5197 4986007.0167)
08X452,Gotham Collaborative High School,Bronx,8,452,40.821218,-73.85593,POINT (-8221604.5197 4986007.0167)
08X530,Longwood Preparatory Academy,Bronx,8,530,40.817741,-73.897876,POINT (-8226273.926999999 4985495.558300003)
08X558,Westchester Square Academy,Bronx,8,558,40.839775,-73.839583,POINT (-8219784.7798999995 4988737.160899997)
08X561,Bronx Compass High School,Bronx,8,561,40.821218,-73.85593,POINT (-8221604.5197 4986007.0167)
08X636,Virtual Innovators Academy,Bronx,8,636,40.823318,-73.907489,POINT (-8227344.041300001 4986315.934699997)
09X227,Bronx Collegiate Academy,Bronx,9,227,40.839307,-73.911366,POINT (-8227775.627 4988668.2984)
09X231,Eagle Academy for Young Men,Bronx,9,231,40.845366,-73.897479,POINT (-8226229.733200001 4989559.870200001)
09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,9,241,40.839508,-73.901774,POINT (-8226707.850400001 4988697.873899996)
09X250,Eximius College Preparatory Academy: A College Board School,Bronx,9,250,40.833884,-73.902794,POINT (-8226821.396299999 4987870.381999999)
09X252,Mott Hall Bronx High School,Bronx,9,252,40.839508,-73.901774,POINT (-8226707.850400001 4988697.873899996)
09X260,Bronx Center for Science and Mathematics,Bronx,9,260,40.833884,-73.902794,POINT (-8226821.396299999 4987870.381999999)
09X263,Validus Preparatory Academy,Bronx,9,263,40.839508,-73.901774,POINT (-8226707.850400001 4988697.873899996)
09X297,Morris Academy for Collaborative Studies,Bronx,9,297,40.827455,-73.90392,POINT (-8226946.742000001 4986924.531800002)
09X324,Bronx Early College Academy for Teaching & Learning,Bronx,9,324,40.828009,-73.917705,POINT (-8228481.281199999 4987006.034000002)
09X327,Comprehensive Model School Project M.S. 327,Bronx,9,327,40.842503,-73.916084,POINT (-8228300.8323 4989138.574299999)
09X329,DreamYard Preparatory School,Bronx,9,329,40.839307,-73.911366,POINT (-8227775.627 4988668.2984)
09X365,Academy for Language and Technology,Bronx,9,365,40.849416,-73.915217,POINT (-8228204.318299999 4990155.866400003)
09X403,Bronx International High School,Bronx,9,403,40.827455,-73.90392,POINT (-8226946.742000001 4986924.531800002)
09X412,Bronx High School of Business,Bronx,9,412,40.839307,-73.911366,POINT (-8227775.627 4988668.2984)
09X413,Bronx High School for Medical Science,Bronx,9,413,40.839307,-73.911366,POINT (-8227775.627 4988668.2984)
09X505,"Bronx School for Law, Government and Justice",Bronx,9,505,40.827461,-73.919024,POINT (-8228628.1116 4986925.414499998)
09X517,Frederick Douglass Academy III Secondary School,Bronx,9,517,40.833493,-73.903951,POINT (-8226950.1929 4987812.854500003)
09X525,Bronx Leadership Academy High School,Bronx,9,525,40.84325,-73.902969,POINT (-8226840.8772 4989248.494999997)
09X543,High School for Violin and Dance,Bronx,9,543,40.827455,-73.90392,POINT (-8226946.742000001 4986924.531800002)
09X564,Claremont International HS,Bronx,9,564,40.839307,-73.911366,POINT (-8227775.627 4988668.2984)
09X568,Young Women's Leadership School of the Bronx,Bronx,9,568,40.848552,-73.909022,POINT (-8227514.6941 4990028.717500001)
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,10,141,40.887407,-73.914141,POINT (-8228084.5385 4995748.380099997)
10X213,Bronx Engineering and Technology Academy,Bronx,10,213,40.877379,-73.912686,POINT (-8227922.568700001 4994271.8838)
10X225,Theatre Arts Production Company School,Bronx,10,225,40.854257,-73.897404,POINT (-8226221.384199999 4990868.313699998)
10X228,Jonas Bronck Academy,Bronx,10,228,40.860987,-73.891562,POINT (-8225571.0558 4991858.8505000025)
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",Bronx,10,237,40.875636,-73.901565,POINT (-8226684.5846 4994015.271899998)
10X243,West Bronx Academy for the Future,Bronx,10,243,40.859466,-73.888625,POINT (-8225244.110400001 4991634.977399997)
10X264,Bronx Academy for Software Engineering (BASE),Bronx,10,264,40.855392,-73.882487,POINT (-8224560.8314 4991035.358499996)
10X268,Kingsbridge International High School,Bronx,10,268,40.869061,-73.897066,POINT (-8226183.758199999 4993047.3330999985)
10X284,Bronx School of Law and Finance,Bronx,10,284,40.877379,-73.912686,POINT (-8227922.568700001 4994271.8838)
10X342,International School for Liberal Arts,Bronx,10,342,40.869061,-73.897066,POINT (-8226183.758199999 4993047.3330999985)
10X351,Bronx Collaborative High School,Bronx,10,351,40.879958,-73.889011,POINT (-8225287.079700001 4994651.5876)
10X353,World View High School,Bronx,10,353,40.879958,-73.889011,POINT (-8225287.079700001 4994651.5876)
10X368,In-Tech Academy (M.S. / High School 368),Bronx,10,368,40.877935,-73.913694,POINT (-8228034.7787 4994353.741899997)
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),Bronx,10,374,40.859466,-73.888625,POINT (-8225244.110400001 4991634.977399997)
10X433,High School for Teaching and the Professions,Bronx,10,433,40.869061,-73.897066,POINT (-8226183.758199999 4993047.3330999985)
10X434,Belmont Preparatory High School,Bronx,10,434,40.859466,-73.888625,POINT (-8225244.110400001 4991634.977399997)
10X437,Fordham High School for the Arts,Bronx,10,437,40.859466,-73.888625,POINT (-8225244.110400001 4991634.977399997)
10X438,Fordham Leadership Academy,Bronx,10,438,40.859466,-73.888625,POINT (-8225244.110400001 4991634.977399997)
10X439,Bronx High School for Law and Community Service,Bronx,10,439,40.859466,-73.888625,POINT (-8225244.110400001 4991634.977399997)
10X440,DeWitt Clinton High School,Bronx,10,440,40.879958,-73.889011,POINT (-8225287.079700001 4994651.5876)
10X442,"Celia Cruz Bronx High School of Music, The",Bronx,10,442,40.869061,-73.897066,POINT (-8226183.758199999 4993047.3330999985)
