DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap,Student Support - School Percent Positive
07X670,Health Opportunities High School,223,Fair,0.62,0.92,,0.296,0.857,0.807,0.83,42,0.524,58,0.879,0.741,58,39.8,-39.059,69%
08X269,Bronx Studio School for Writers and Artists,314,Fair,0.78,0.84,0.942,0.156,0.901,0.854,0.83,79,0.646,71,0.972,0.915,71,39.8,-38.885,66%
08X282,Women's Academy of Excellence,168,Fair,0.82,0.93,0.919,0.238,0.833,0.861,0.87,35,0.571,48,0.896,0.875,48,49.2,-48.325,70%
08X293,Renaissance High School for Musical Theater and the Arts,383,Good,0.92,0.85,0.841,0.112,0.794,0.857,0.89,110,0.464,99,0.909,0.899,99,48.4,-47.501,80%
08X312,Millennium Art Academy,345,Good,0.94,0.94,0.907,0.125,0.867,0.862,0.9,77,0.571,76,0.987,0.961,76,52.1,-51.139,82%
08X320,Pelham Lab High School,286,Fair,0.91,0.9,0.914,0.154,0.829,0.809,0.86,76,0.447,69,0.899,0.812,69,44,-43.188,73%
08X348,Schuylerville Preparatory High School,328,Fair,0.73,0.81,0.891,0.152,0.814,0.814,0.83,97,0.412,85,0.882,0.847,85,37.5,-36.653,72%
08X349,Bronx River High School,416,Good,0.82,0.91,0.87,0.137,0.81,0.882,0.89,110,0.691,106,0.962,0.953,106,51.8,-50.847,77%
08X367,"Archimedes Academy for Math, Science and Technology Applications",268,Fair,0.82,0.91,0.918,0.168,0.862,0.805,0.79,62,0.403,77,0.935,0.857,77,38.9,-38.043,64%
08X376,Antonia Pantoja Preparatory Academy: A College Board School,258,Fair,0.96,0.94,0.946,0.155,0.88,0.818,0.85,44,0.705,61,0.918,0.902,61,36.9,-35.998,69%
08X405,Herbert H. Lehman High School,1065,Fair,0.85,0.84,0.821,0.116,0.757,0.884,0.84,226,0.633,246,0.878,0.797,246,40.3,-39.503,72%
08X432,Bronx Bridges High School,366,Good,0.88,0.95,,0.292,0.667,0.867,0.88,99,0.596,83,0.928,0.904,83,48.2,-47.296,75%
08X452,Gotham Collaborative High School,295,Fair,0.92,0.84,,0.247,0.841,0.853,0.9,80,0.713,62,0.968,0.903,62,42.2,-41.297,79%
08X530,Longwood Preparatory Academy,361,Fair,0.88,0.86,0.933,0.202,0.878,0.843,0.89,65,0.508,82,0.915,0.817,82,44.3,-43.483,75%
08X558,Westchester Square Academy,406,Fair,0.71,0.79,0.888,0.138,0.815,0.83,0.83,101,0.465,95,0.947,0.916,95,45.9,-44.984,69%
08X561,Bronx Compass High School,410,Fair,0.83,0.87,0.919,0.127,0.854,0.836,0.85,77,0.558,86,0.907,0.907,86,38.6,-37.693,73%
08X636,Virtual Innovators Academy,248,,0.95,0.95,0.799,0.105,0.742,0.876,0.89,,,5,,,5,,,88%
09X227,Bronx Collegiate Academy,432,Good,0.98,0.74,0.932,0.185,0.85,0.859,0.9,95,0.705,105,0.962,0.933,105,57.5,-56.567,83%
09X231,Eagle Academy for Young Men,319,Fair,0.76,0.87,0.903,0.113,0.831,0.938,0.8,68,0.5,61,0.951,0.918,61,37.5,-36.582,72%
09X241,"Urban Assembly School for Applied Math and Science, The",303,Good,0.89,0.92,,0.119,0.908,0.799,0.87,86,0.628,74,0.919,0.892,74,43.1,-42.208,73%
09X250,Eximius College Preparatory Academy: A College Board School,376,Good,0.88,0.72,0.947,0.181,0.886,0.861,0.88,75,0.8,95,0.947,0.905,95,49.7,-48.795,76%
09X252,Mott Hall Bronx High School,314,Good,0.77,0.87,,0.197,0.911,0.844,0.87,98,0.694,78,0.897,0.872,78,41.7,-40.828,76%
09X260,Bronx Center for Science and Mathematics,383,Excellent,0.81,0.83,0.903,0.146,0.828,0.895,0.89,95,0.758,90,0.989,0.956,90,57.8,-56.844,79%
09X263,Validus Preparatory Academy,283,Needs Improvement,0.58,0.82,,0.23,0.901,0.796,0.85,50,0.42,63,0.921,0.841,63,37.2,-36.359,66%
09X297,Morris Academy for Collaborative Studies,444,Good,0.91,0.94,,0.245,0.872,0.822,0.85,108,0.583,114,0.904,0.851,114,46.1,-45.249,73%
09X324,Bronx Early College Academy for Teaching & Learning,267,Good,0.86,0.84,,0.202,0.903,0.878,0.83,78,0.628,67,1,0.97,67,52.8,-51.83,73%
09X327,Comprehensive Model School Project M.S. 327,379,Good,0.87,0.9,0.925,0.153,0.865,0.871,0.86,94,0.681,107,0.963,0.935,107,48.7,-47.765,73%
09X329,DreamYard Preparatory School,290,Good,0.69,0.97,,0.269,0.914,0.871,0.87,62,0.645,53,0.943,0.906,53,41.8,-40.894,75%
09X365,Academy for Language and Technology,354,Excellent,0.88,0.97,,0.718,0.749,0.915,0.97,80,0.625,86,0.988,0.988,86,62.8,-61.812,97%
09X403,Bronx International High School,431,Good,,0.88,,0.385,0.673,0.797,,63,0.317,118,0.941,0.907,118,44.8,-43.893,
09X412,Bronx High School of Business,292,Fair,0.72,0.89,,0.277,0.89,0.822,0.8,65,0.492,77,0.909,0.831,77,24.7,-23.869,72%
09X413,Bronx High School for Medical Science,259,Good,0.84,0.9,0.934,0.208,0.884,0.905,0.86,68,0.691,44,0.955,0.886,44,56.8,-55.914,72%
09X505,"Bronx School for Law, Government and Justice",429,Fair,0.72,0.89,0.94,0.154,0.9,0.887,0.89,121,0.744,110,0.936,0.891,110,49.6,-48.709,72%
09X517,Frederick Douglass Academy III Secondary School,229,Good,0.9,0.9,,0.197,0.873,0.901,0.94,63,0.365,63,0.889,0.857,63,36.1,-35.243,86%
09X525,Bronx Leadership Academy High School,370,Fair,0.84,0.8,,0.319,0.905,0.858,0.84,72,0.444,84,0.798,0.738,84,31.9,-31.162,74%
09X543,High School for Violin and Dance,111,Fair,0.79,0.8,,0.333,0.901,0.877,0.82,32,0.625,25,0.8,0.76,25,33.1,-32.34,65%
09X564,Claremont International HS,395,Excellent,0.97,0.84,,0.466,0.699,0.888,0.92,78,0.577,103,0.903,0.874,103,48.7,-47.826,87%
09X568,Young Women's Leadership School of the Bronx,309,Good,0.85,0.9,0.907,0.146,0.845,0.876,0.88,68,0.838,72,0.972,0.958,72,64.5,-63.542,71%
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),675,Good,0.86,0.86,0.583,0.076,0.514,0.925,0.84,174,0.747,136,0.971,0.941,136,62.4,-61.459,70%
